alt_LandUse_1_Env093_BUILT,alt_LandUse_1_Env094_INTENSIVE,alt_LandUse_1_Env095_HERBCROPS,alt_LandUse_1_Env096_WoodCrops,alt_LandUse_1_Env097_HETEROGENEO,alt_LandUse_1_Env098_Natural,alt_LandUse_1_Env99_MainLU,Climate_Env001_Tref,Climate_Env002_PPTref,Climate_Env003_ET0ref,Climate_Env004_Rad,Climate_Env006_Snow,Climate_Env007_WaterBal,Topography_Env013_Slope,Topography_Env015_Zmean,Topography_Env104_MGU_litt,social_1_S042_Pdens,social_1_S003_MsR,social_1_S007_EGR,social_1_S008_DT,social_1_S013_IME,social_1_S015_ODI,social_1_S036_Tbmortalid,social_1_S040_Tbnatalidad,Topography_S048_distBigCity,econ_Education_1_S042_literacyIndex,econ_Education_1_S043_enrollmentIndex,econ_Education_1_S044_eduIndex,social_1_S46_HDI,social_1_Ec001_ActR,altEconomyClass_1_Ec108_Paro,altEconomyClass_1_Ec109_incomePerCapita,altEconomyClass_1_Ec110_incomeIndex,altEconomyClass_1_Ec077_EarnedIncome,econ_Education_1_Ec111_Illiterate,econ_Education_1_Ec_112_NoStudies,econ_Education_1_Ec91_EduPrimHab,econ_Education_1_Ec92_EduSecunHab,econ_Education_1_Ec93_EduBachiHab,econ_Education_1_Ec94_EduUnivHab,altEconomyClass_1_Ec113_Education,altEconomyClass_1_Ec095_OcuPrimHab,altEconomyClass_1_Ec096_OcuSecunHab,altEconomyClass_1_Ec097_OcuTradingHab,altEconomyClass_1_Ec098_OcuHospitalityHab,altEconomyClass_1_Ec100_OcuBankingHab,altEconomyClass_1_Ec101_OcuServicesHab,altEconomyClass_1_Ec109_OcuTradBankServHab,ecosystemServices_1_Env104_TraditionalAgriculture ,ecosystemServices_1_Env105_IntensiveAgriculture ,ecosystemServices_1_Env106_Shepherding ,ecosystemServices_1_Env107_ForestHarvesting ,ecosystemServices_1_Env108_FiberHarvesting ,ecosystemServices_1_Env109_Freshwater ,ecosystemServices_1_Env110_CleanEnergy ,ecosystemServices_1_Env111_Timber ,ecosystemServices_1_Env112_Apiculture ,ecosystemServices_1_Env113_MedicinalCompounds ,ecosystemServices_1_Env114_AirQuality ,ecosystemServices_1_Env115_MicroclimateRegulation ,ecosystemServices_1_Env116_HabitatSpecies ,ecosystemServices_1_Env117_WaterRegulation ,ecosystemServices_1_Env118_WaterQuality ,ecosystemServices_1_Env119_ErosionControlSoilProtection,ecosystemServices_1_Env120_SoilFertility ,ecosystemServices_1_Env121_SeedDispersal ,ecosystemServices_1_Env122_Pollination ,ecosystemServices_1_Env123_BiologicalInvasionsPlaguesPrevention,ecosystemServices_1_Env124_NaturalAccidentsMitigation,ecosystemServices_1_Env125_SatisfactionConservingSpecies,ecosystemServices_1_Env126_Relaxation ,ecosystemServices_1_Env127_TraditionalEcologicalKnowledge,ecosystemServices_1_Env128_ScienticKnowledge ,ecosystemServices_1_Env129_EnvironmentalEducation ,ecosystemServices_1_Env130_RecreationalHunting ,ecosystemServices_1_Env131_Tourism ,ecosystemServices_1_Env132_AestheticValues ,ecosystemServices_1_Env133_LocalIdentity
Fair,Scarce,Fair,Fair,Scarce,Scarce,Herbaceous crops,Moderate,Very low,Moderate,High,None,Low,Flat,Moderate,Baetic Systems,High,More males,Increase,Fast to doubling time,Immigration,Low,Low,High,Near,High,High,High,High,High,Average,High,High,High,Low,Low,Low,High,High,Moderate,Middle school,Moderate,Moderate,High,Moderate,Moderate,Moderate,High,High,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Moderate,High,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,High,Moderate,Low,Low,Moderate,Moderate,High
Scarce,Scarce,Scarce,Dominant,Scarce,Scarce,Woody crops,Moderate,High,Moderate,Moderate,None,Moderate,Gentle,Moderate,Baetic Systems,Low,More males,Increase,Slowly to doubling time,Balanced,Moderate,Low,Moderate,Moderate,High,Low,Low,Low,Average,High,Low,Moderate,Low,Low,High,Low,Low,Low,Low,No studies,Low,Moderate,Low,Low,Moderate,Low,Low,High,Moderate,High,Low,Moderate,Low,Low,Low,High,Moderate,Moderate,High,Moderate,Low,Low,High,Low,Low,High,Low,Low,Low,Moderate,High,High,Moderate,Low,Moderate,Moderate,High
Fair,Scarce,Scarce,Fair,Fair,Fair,Natural land,Low,Low,Moderate,Moderate,Low,Low,Steep,Moderate,Baetic Systems,Moderate,More males,Increase,Slowly to doubling time,Immigration,Low,Low,High,Near,High,Moderate,High,High,High,Low,High,High,Moderate,Low,Low,Low,Moderate,High,High,High school or higher,Low,High,High,High,High,High,High,Moderate,Low,Moderate,Moderate,Moderate,Low,Low,High,High,High,High,High,High,High,Moderate,High,Moderate,High,High,Low,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,Moderate,Moderate
Fair,Scarce,Scarce,Dominant,Scarce,Scarce,Woody crops,Moderate,Low,Moderate,Moderate,None,Moderate,Gentle,Moderate,Baetic Systems,Moderate,More males,Increase,Moderately to doubling time,Immigration,Moderate,Moderate,High,Moderate,Moderate,High,Moderate,Moderate,Average,Average,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,No studies,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,Moderate,Low,Low,Low,High,Moderate,Moderate,High,High,Moderate,Low,High,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,Moderate,Low,Moderate,Moderate,High
Fair,Scarce,Scarce,Scarce,Scarce,Dominant,Natural land,Low,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,Baetic Systems,High,More males,Increase,Fast to doubling time,Immigration,Low,Low,High,Near,High,Moderate,High,High,High,Average,High,High,High,Low,Low,Low,High,High,High,High school or higher,Low,Moderate,High,High,High,High,High,Low,Low,Moderate,Moderate,Moderate,Low,Low,Moderate,High,High,Moderate,High,High,High,Moderate,High,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,Moderate,Moderate
Abundant,Scarce,Dominant,Scarce,Scarce,Scarce,Herbaceous crops,Moderate,Very low,High,High,None,Low,Flat,Moderate,Baetic Systems,High,More males,Increase,Fast to doubling time,Immigration,Low,Low,High,Near,High,High,High,High,High,Low,High,High,High,Low,Low,Low,High,High,High,High school or higher,Low,Moderate,High,High,High,High,High,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Low,High,Low,Low,Low,Low,Low,Moderate,Low,Low,Low,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,High
Abundant,Scarce,Fair,Scarce,Scarce,Scarce,Herbaceous crops,Moderate,Very low,High,High,None,Low,Flat,Moderate,Baetic Systems,High,More females,Increase,Fast to doubling time,Immigration,Low,Low,High,Near,High,High,High,High,High,Low,High,High,High,Low,Low,Moderate,High,High,Moderate,Middle school,Low,Moderate,High,High,High,Moderate,High,Moderate,Moderate,Moderate,Low,Low,Low,Low,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Low,Low,Low,Moderate,Low,Low,Low,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,High
Scarce,Scarce,Fair,Fair,Scarce,Scarce,Woody crops,Moderate,Low,High,High,None,Low,Flat,Moderate,Baetic Systems,Low,More males,Decrease,Slowly to halftime,Balanced,Moderate,Moderate,Moderate,Near,Moderate,Moderate,Low,Low,Average,Average,Low,Moderate,Low,High,Moderate,Moderate,Moderate,Low,Low,No studies,Low,Low,Low,Moderate,Low,Low,Low,High,Moderate,High,Low,Moderate,Low,Low,Low,High,Moderate,Moderate,Moderate,High,Low,Low,Moderate,Low,Low,High,Low,Low,Low,Moderate,High,High,Moderate,Low,Moderate,Moderate,High
Abundant,Scarce,Fair,Scarce,Scarce,Scarce,Built,Moderate,Very low,High,High,None,Low,Flat,Moderate,Baetic Systems,High,More males,Increase,Fast to doubling time,Immigration,Low,Low,High,Near,High,High,High,High,High,Average,High,High,High,Low,Low,Low,Moderate,High,Moderate,High school or higher,Low,Moderate,High,High,Moderate,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,High
Fair,Scarce,Fair,Fair,Scarce,Scarce,Woody crops,Moderate,Very low,High,High,None,Low,Flat,Moderate,Baetic Systems,High,More males,Increase,Fast to doubling time,Immigration,Low,Low,High,Near,High,Moderate,High,High,High,Low,High,High,High,Low,Low,Low,High,High,Moderate,Middle school,Low,High,High,High,Moderate,High,High,High,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Moderate,Moderate,Low,Low,Moderate,Low,Low,High,Low,Low,Low,Low,High,Moderate,Low,Low,Moderate,Moderate,High
Abundant,Scarce,Scarce,Fair,Scarce,Scarce,Built,Low,Very low,High,High,None,Low,Gentle,Moderate,Baetic Systems,High,More males,Increase,Moderately to doubling time,Immigration,Low,Low,Moderate,Near,High,High,High,High,High,Low,High,High,High,Low,Low,Low,Moderate,High,High,High school or higher,Low,Moderate,High,High,High,High,High,Moderate,Low,Moderate,Low,Low,Low,Low,Low,Moderate,Low,Low,Moderate,Moderate,Low,Low,Moderate,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,High
Scarce,Scarce,Scarce,Dominant,Scarce,Fair,Woody crops,Low,Moderate,Moderate,Moderate,None,Moderate,Moderate,Moderate,Baetic Systems,Low,More females,Decrease,Moderately to halftime,Emigration,High,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,Low,Moderate,Low,Moderate,High,Moderate,Moderate,Moderate,Low,No studies,Low,Low,Low,Moderate,Low,Low,Low,High,Moderate,High,Low,Moderate,Low,Low,Low,High,Moderate,Moderate,High,High,Moderate,Low,High,Low,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,Moderate,Low,Moderate,Moderate,High
Scarce,Scarce,Fair,Fair,Scarce,Fair,Natural land,Very low,High,Low,Moderate,Low,High,Moderate,High,Baetic Systems,Low,More males,Increase,Slowly to doubling time,Immigration,Moderate,Low,Moderate,Near,High,High,High,Moderate,High,Average,Low,Moderate,Low,Low,Moderate,Moderate,Low,Moderate,Moderate,Elementary school,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Moderate,Low,Low,Moderate,High,High,Moderate,High,High,Moderate,Moderate,High,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,Moderate,Moderate
Scarce,Scarce,Scarce,Scarce,Scarce,Dominant,Natural land,High,Very low,High,Moderate,None,Low,Gentle,Moderate,Baetic Systems,Low,More males,Increase,Moderately to doubling time,Immigration,Moderate,Low,Moderate,Near,Low,Moderate,Low,Low,High,Average,Low,Low,Low,High,Moderate,Moderate,Low,Moderate,Low,No studies,Low,Moderate,Moderate,High,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Low,Low,Moderate,High,High,Moderate,High,High,High,Moderate,High,High,High,High,Low,Moderate,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Moderate
Scarce,Scarce,Fair,Fair,Scarce,Fair,Woody crops,Moderate,Moderate,High,Moderate,None,Low,Gentle,Moderate,Baetic Systems,Moderate,More females,Increase,Slowly to doubling time,Immigration,Moderate,Moderate,Moderate,Far,Moderate,Low,Low,Low,Average,Average,Low,Moderate,Low,Moderate,Moderate,Moderate,Low,Low,Low,Elementary school,High,Moderate,Low,Moderate,Low,Low,Low,High,Moderate,Moderate,Low,Moderate,Low,Low,Low,High,Moderate,Moderate,High,High,Moderate,Low,Moderate,Low,Moderate,High,Low,Low,Low,Moderate,High,High,Moderate,Low,Moderate,Moderate,High
Scarce,Scarce,Scarce,Scarce,Scarce,Dominant,Natural land,Very low,Moderate,Moderate,Moderate,Low,Moderate,Steep,High,Baetic Systems,Moderate,More males,Increase,Fast to doubling time,Immigration,Low,Low,High,Near,High,High,High,High,High,Low,High,High,High,Low,Low,Low,Moderate,High,High,High school or higher,Low,Moderate,High,High,High,High,High,Low,Low,Moderate,Moderate,Moderate,Moderate,Low,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Moderate
Abundant,Scarce,Fair,Scarce,Scarce,Scarce,Built,Moderate,Very low,High,High,None,Low,Flat,Moderate,Baetic Systems,High,More females,Increase,Fast to doubling time,Immigration,Low,Low,Moderate,Near,High,High,High,High,High,Low,High,High,High,Low,Low,Low,Low,High,High,High school or higher,Low,Moderate,High,Moderate,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Low,Low,Low,Low,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,High
Scarce,Scarce,Fair,Fair,Scarce,Fair,Natural land,High,Moderate,High,High,None,Low,Gentle,Low,Baetic Systems,Moderate,More females,Decrease,Moderately to halftime,Emigration,High,Low,Low,Moderate,Moderate,Low,Low,Low,Average,High,Low,Moderate,Low,High,High,Moderate,Moderate,Low,Low,No studies,High,Low,Low,High,Moderate,Low,Low,Moderate,Low,Moderate,Low,Moderate,Low,Low,Moderate,High,High,Moderate,High,High,Moderate,Moderate,High,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,Moderate,Moderate
Fair,Scarce,Dominant,Scarce,Scarce,Scarce,Herbaceous crops,High,Low,High,High,None,Low,Flat,Low,Baetic Depression,Moderate,More males,Decrease,Slowly to halftime,Balanced,Moderate,Low,Moderate,Near,Moderate,Moderate,Moderate,Moderate,Average,High,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,No studies,Moderate,Low,Moderate,Moderate,Moderate,Low,Low,High,High,Moderate,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Low,High,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,High,Moderate,Low,Low,Moderate,Low,Moderate
Fair,Scarce,Fair,Scarce,Scarce,Fair,Natural land,Low,Low,High,High,Low,Low,Gentle,Moderate,Baetic Systems,High,More females,Increase,Moderately to doubling time,Immigration,Low,Low,High,Near,High,Moderate,High,High,High,Low,High,High,High,Low,Low,Low,High,High,High,High school or higher,Low,Moderate,High,High,High,High,High,Low,Low,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,High
Abundant,Scarce,Fair,Scarce,Scarce,Scarce,Built,Moderate,Very low,High,High,None,Low,Flat,Moderate,Baetic Systems,High,More males,Increase,Fast to doubling time,Immigration,Low,Low,Moderate,Near,High,High,High,High,High,Low,High,High,High,Low,Low,Low,Moderate,High,High,High school or higher,Low,Moderate,High,Moderate,High,High,High,Moderate,Low,Moderate,Low,Low,Low,Low,Low,Moderate,Low,Low,Low,Moderate,Low,Low,Low,Low,Low,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,High
Fair,Scarce,Fair,Fair,Scarce,Fair,Herbaceous crops,Low,Low,High,High,Low,Low,Flat,Moderate,Baetic Systems,Moderate,More males,Increase,Fast to doubling time,Immigration,Low,Low,High,Near,High,Low,Moderate,High,High,Low,High,High,High,Low,Low,High,Moderate,Moderate,Moderate,Elementary school,Low,High,High,High,Moderate,Moderate,High,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,High,Moderate,Low,Moderate,Low,Moderate,High,Low,Low,Low,Low,High,Moderate,Moderate,Low,Moderate,Moderate,Moderate
Scarce,Scarce,Scarce,Scarce,Scarce,Dominant,Natural land,High,Very low,Moderate,Moderate,None,Low,Gentle,Moderate,Baetic Systems,Low,More males,Increase,Moderately to doubling time,Immigration,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Average,Average,Low,Low,Low,Moderate,High,Moderate,Moderate,Moderate,Low,No studies,Moderate,High,Moderate,High,Moderate,Low,Low,Low,Low,Moderate,Moderate,Moderate,Low,Low,Moderate,High,High,Moderate,High,High,High,Moderate,High,High,High,High,Low,Moderate,Moderate,Low,High,High,High,High,Low,Moderate,Moderate
Scarce,Scarce,Fair,Fair,Scarce,Scarce,Herbaceous crops,Moderate,Low,Moderate,Moderate,None,Low,Flat,Moderate,Baetic Systems,Moderate,More males,Increase,Moderately to doubling time,Immigration,Low,Moderate,Moderate,Moderate,High,High,High,High,Average,Average,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,Elementary school,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,Moderate,Low,Low,Low,High,Moderate,Moderate,Moderate,High,Moderate,Low,Moderate,Low,Low,High,Low,Low,Low,Moderate,High,High,Moderate,Low,Moderate,Moderate,High
Scarce,Scarce,Scarce,Dominant,Scarce,Fair,Woody crops,Low,Moderate,Moderate,Moderate,None,Moderate,Gentle,Moderate,Baetic Systems,Low,More males,Increase,Slowly to doubling time,Immigration,Moderate,Low,Moderate,Near,High,High,High,Moderate,High,Average,Low,Moderate,Low,Low,Moderate,Moderate,Low,Moderate,Moderate,Elementary school,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,High,Moderate,High,Low,Moderate,Low,Low,Moderate,High,Moderate,Moderate,High,High,Moderate,Low,High,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,High
Fair,Scarce,Dominant,Fair,Scarce,Scarce,Herbaceous crops,Moderate,Very low,High,High,None,Low,Gentle,Moderate,Baetic Systems,Moderate,More males,Increase,Moderately to doubling time,Immigration,Moderate,Low,Moderate,Near,High,Moderate,High,Moderate,High,Average,Moderate,Moderate,Moderate,Low,Moderate,Moderate,High,Moderate,Low,Middle school,Low,High,Low,Moderate,Low,Low,Low,High,Moderate,Moderate,Low,Moderate,Low,Low,Low,High,Moderate,Low,Moderate,High,Low,Low,Moderate,Low,Low,High,Low,Low,Low,Low,High,Moderate,Moderate,Low,Moderate,Low,High
Fair,Scarce,Scarce,Fair,Scarce,Scarce,Woody crops,Low,Low,High,High,Low,Low,Gentle,Moderate,Baetic Systems,High,More males,Increase,Fast to doubling time,Immigration,Low,Low,High,Near,High,High,High,High,High,Average,High,High,High,Low,Low,Low,High,High,High,High school or higher,Low,Moderate,High,Moderate,High,High,High,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Moderate,High,Low,Low,Low,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,High
Fair,Scarce,Dominant,Scarce,Scarce,Scarce,Herbaceous crops,High,Low,High,High,None,Low,Flat,Low,Baetic Depression,Moderate,More males,Increase,Slowly to doubling time,Emigration,Low,Low,High,Near,Moderate,Low,Low,Low,High,High,Low,Moderate,Low,Moderate,Low,High,Moderate,Low,Low,Elementary school,Moderate,Moderate,Moderate,Moderate,Low,Low,Low,High,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Low,High,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,High,Moderate,Low,Low,Moderate,Low,Moderate
Scarce,Scarce,Scarce,Scarce,Scarce,Dominant,Natural land,Very low,Moderate,Low,Moderate,Low,Moderate,Steep,High,Baetic Systems,Low,More males,Increase,Moderately to doubling time,Immigration,Moderate,High,Low,Moderate,Moderate,Moderate,Low,Low,High,Average,Low,Low,Low,High,High,Moderate,Low,Low,Low,No studies,Moderate,Low,High,High,Low,Low,Low,Low,Low,Low,High,High,Moderate,Low,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,High,High,Moderate
Fair,Scarce,Dominant,Scarce,Scarce,Scarce,Herbaceous crops,High,Low,High,High,None,Low,Flat,Low,Baetic Depression,Moderate,More males,Increase,Moderately to doubling time,Immigration,Low,Low,High,Near,Moderate,Moderate,Moderate,Moderate,High,Average,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,Elementary school,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Low,High,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,High,Moderate,Low,Low,Moderate,Low,Moderate
Scarce,Scarce,Scarce,Scarce,Scarce,Dominant,Natural land,Very low,Moderate,Moderate,High,High,Moderate,Steep,High,Baetic Systems,Low,More males,Increase,Slowly to doubling time,Immigration,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Low,Low,Average,Low,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Low,Low,No studies,Low,High,Moderate,High,Moderate,Low,Low,Low,Low,Moderate,Moderate,Moderate,Low,Low,Moderate,High,High,Moderate,Moderate,High,Moderate,Moderate,High,High,High,High,Low,Moderate,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Moderate
Scarce,Scarce,Scarce,Scarce,Scarce,Dominant,Natural land,Very low,Moderate,Low,Moderate,Low,Moderate,Steep,High,Baetic Systems,Low,More males,Decrease,Moderately to halftime,Emigration,High,Low,Moderate,Moderate,Low,Moderate,Low,Low,Low,High,Low,Low,Low,High,High,Low,Low,Low,Moderate,No studies,Low,Low,Low,Low,Moderate,Low,Low,Low,Low,Moderate,Moderate,High,Moderate,Low,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Moderate
Scarce,Scarce,Scarce,Scarce,Scarce,Dominant,Natural land,Moderate,Very low,Moderate,Low,Low,Low,Moderate,Moderate,Baetic Systems,Low,More females,Decrease,Moderately to halftime,Emigration,High,Moderate,Moderate,Near,Moderate,Moderate,Moderate,Low,Low,Average,Low,Low,Low,Moderate,Moderate,High,Moderate,Moderate,Moderate,Elementary school,Moderate,Moderate,High,Moderate,Low,Moderate,High,Low,Low,Moderate,Moderate,Moderate,Low,Low,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Moderate
Scarce,Scarce,Fair,Fair,Scarce,Scarce,Herbaceous crops,Low,Low,High,High,None,Low,Flat,Moderate,Baetic Systems,Low,More males,Increase,Moderately to doubling time,Immigration,Moderate,Low,Low,Near,Moderate,High,Moderate,Moderate,Average,Average,Low,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Moderate,No studies,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,Moderate,Low,Low,Low,High,Moderate,Low,Moderate,High,Low,Low,Moderate,Low,Low,High,Low,Low,Low,Low,High,High,Moderate,Low,Moderate,Moderate,High
Fair,Scarce,Fair,Fair,Scarce,Scarce,Herbaceous crops,Moderate,Very low,High,High,None,Low,Flat,Moderate,Baetic Systems,High,More males,Increase,Fast to doubling time,Immigration,Low,Low,Moderate,Near,High,High,High,High,High,Low,High,High,High,Low,Low,Low,Moderate,High,High,High school or higher,Low,Moderate,High,High,High,High,High,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Moderate,High,Low,Low,Moderate,Low,Low,High,Low,Low,Low,Low,High,Moderate,Low,Low,Moderate,Moderate,High
Fair,Scarce,Fair,Scarce,Scarce,Scarce,Herbaceous crops,High,Moderate,High,High,None,Low,Gentle,Low,Baetic Systems,Moderate,More females,Increase,Moderately to doubling time,Immigration,Moderate,Low,Moderate,Near,High,Low,Moderate,Low,High,High,Low,Moderate,Low,Low,Moderate,Moderate,Low,Low,Low,No studies,Moderate,Low,Moderate,Moderate,Low,Low,Low,High,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Moderate,High,Low,Low,Moderate,Low,Low,High,Low,Low,Low,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,High
Scarce,Scarce,Scarce,Scarce,Scarce,Dominant,Natural land,Very low,Low,Low,Moderate,Low,Moderate,Steep,High,Baetic Systems,Low,More males,Decrease,Moderately to halftime,Emigration,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Low,High,Moderate,High,Low,Low,Moderate,Elementary school,Low,Low,Low,Moderate,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Low,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,Moderate,High,High,High,High,Moderate,Moderate,Moderate
Scarce,Scarce,Scarce,Scarce,Scarce,Dominant,Natural land,Very low,Low,Low,Low,Low,Moderate,Steep,High,Baetic Systems,Low,More females,Decrease,Slowly to halftime,Emigration,Moderate,High,Moderate,Near,Moderate,High,Moderate,Low,Average,Average,Low,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,No studies,Low,High,Moderate,High,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,Low,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,High,High,Moderate
Scarce,Scarce,Scarce,Scarce,Scarce,Dominant,Natural land,Very low,Moderate,Low,Moderate,Low,Moderate,Steep,High,Baetic Systems,Low,More males,Decrease,Slowly to halftime,Immigration,High,Moderate,Low,Moderate,High,Moderate,Moderate,Low,Low,Average,Low,Low,Low,Moderate,Moderate,High,Low,Moderate,Moderate,Elementary school,Low,Low,Low,High,Moderate,Low,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Low,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Moderate
Scarce,Scarce,Scarce,Scarce,Scarce,Dominant,Natural land,Very low,Moderate,Low,Low,Low,Moderate,Steep,High,Baetic Systems,Low,More males,Increase,Moderately to doubling time,Immigration,High,Low,Low,Moderate,High,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,High,High,Low,Low,Low,No studies,Moderate,Low,Low,Moderate,High,Low,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Low,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,High,High,Moderate
Scarce,Scarce,Scarce,Scarce,Fair,Dominant,Natural land,Very low,Very low,Low,Low,Low,Low,Steep,High,Baetic Systems,Low,More females,Decrease,Moderately to halftime,Balanced,High,Moderate,Low,Moderate,Moderate,High,Moderate,Low,Low,Average,Low,Low,Low,Moderate,High,High,Low,Low,Low,No studies,Moderate,Low,Low,Low,Moderate,Low,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Low,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,High,High,High
Scarce,Scarce,Scarce,Scarce,Scarce,Dominant,Natural land,Very low,Moderate,Low,High,High,Moderate,Steep,High,Baetic Systems,Low,More males,Increase,Moderately to doubling time,Immigration,Moderate,Low,Moderate,Moderate,High,Low,Moderate,Low,Low,Average,Low,Low,Low,Low,Low,High,Low,Low,Low,Elementary school,Moderate,Moderate,Low,Moderate,Moderate,Low,Low,Low,Low,Moderate,Moderate,Moderate,Moderate,Low,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Moderate
